time=765000, curr=(549,296), pos=(520,300), read_mem_en=0, addr=4294967205, pix=000
time=775000, curr=(550,296), pos=(520,300), read_mem_en=0, addr=4294967206, pix=000
time=785000, curr=(551,296), pos=(520,300), read_mem_en=0, addr=4294967207, pix=000
time=795000, curr=(552,296), pos=(520,300), read_mem_en=0, addr=4294967208, pix=000
time=805000, curr=(553,296), pos=(520,300), read_mem_en=0, addr=4294967209, pix=000
time=815000, curr=(554,296), pos=(520,300), read_mem_en=0, addr=4294967210, pix=000
time=825000, curr=(515,297), pos=(520,300), read_mem_en=0, addr=4294967201, pix=000
time=835000, curr=(516,297), pos=(520,300), read_mem_en=0, addr=4294967202, pix=000
time=845000, curr=(517,297), pos=(520,300), read_mem_en=0, addr=4294967203, pix=000
time=855000, curr=(518,297), pos=(520,300), read_mem_en=0, addr=4294967204, pix=000
time=865000, curr=(519,297), pos=(520,300), read_mem_en=0, addr=4294967205, pix=000
time=875000, curr=(520,297), pos=(520,300), read_mem_en=0, addr=4294967206, pix=000
time=885000, curr=(521,297), pos=(520,300), read_mem_en=0, addr=4294967207, pix=000
time=895000, curr=(522,297), pos=(520,300), read_mem_en=0, addr=4294967208, pix=000
time=905000, curr=(523,297), pos=(520,300), read_mem_en=0, addr=4294967209, pix=000
time=915000, curr=(524,297), pos=(520,300), read_mem_en=0, addr=4294967210, pix=000
time=925000, curr=(525,297), pos=(520,300), read_mem_en=0, addr=4294967211, pix=000
time=935000, curr=(526,297), pos=(520,300), read_mem_en=0, addr=4294967212, pix=000
time=945000, curr=(527,297), pos=(520,300), read_mem_en=0, addr=4294967213, pix=000
time=955000, curr=(528,297), pos=(520,300), read_mem_en=0, addr=4294967214, pix=000
time=965000, curr=(529,297), pos=(520,300), read_mem_en=0, addr=4294967215, pix=000
time=975000, curr=(530,297), pos=(520,300), read_mem_en=0, addr=4294967216, pix=000
time=985000, curr=(531,297), pos=(520,300), read_mem_en=0, addr=4294967217, pix=000
time=995000, curr=(532,297), pos=(520,300), read_me
